Age,Gender,Location_Geotag (city/town/pincode),Type_of_Institution,Course_Completion_Rate (%),Attendance_Rate (%),Scholarships_Awards (Yes/No),Current_Academic_Standing (GPA),Stipend_Allowance_Amount (₹/month),Allowance_Management_Pattern (₹),Internship_PartTime_Job_Income (₹/month),Education_Loan_History,Mobile_Recharge_Frequency (per month),Network_Diversity (no. of links),Language_Sentiment_Score,Daily_Mobile_Usage (hours/day),Ongoing_Certification_Courses,Achievement_Level,Student_Highlight,College_name,Median_Packages (LPA)
19,Male,Vellore,Private,60,80,No,8.64,8000,6000,1893,2x late,1,8,-0.61,3.74,1,2,Patent Holder,Sathyabama,5.2
22,Male,Tambaram,Online Platform,64,75,No,9.76,12500,6500,475,None,2,10,-0.58,3.96,3,4,Patent Holder,Udemy,0
18,Male,Thanjavur,Online Platform,84,100,Yes,9.64,7000,5000,835,2x late,2,1,-0.67,8.87,1,4,Startup Founder,Coursera,0
20,Female,Dindigul,Online Platform,96,93,No,7.89,11000,7000,3863,2x late,1,10,-0.36,5.24,1,1,Social Impact Leader,Coursera,0
23,Male,Vellore,Govt,88,100,Yes,5.95,8500,5000,3252,1x late,2,7,0.35,2.85,1,0,Patent Holder,IIIT Kanchipuram,8.6
19,Female,Padappai,Govt,53,64,No,9.7,11000,5500,1985,None,3,10,-0.44,2.83,1,4,Patent Holder,IIIT Kanchipuram,8.6
20,Female,Kumbakonam,Private,92,67,Yes,8.07,5000,6500,4908,1x late,5,4,0.75,4.09,3,1,None,SNU Chennai,8.26
23,Male,Lalgudi,Private,68,60,Yes,8.77,9000,5000,1305,1x late,4,6,0.68,7.55,1,1,Award Winner,SNU Chennai,8.26
22,Male,Vallam,Govt,93,74,No,9.6,11500,7000,3428,None,4,2,0.5,9.48,3,1,Innovator,NIT Trichy,9.2
23,Male,Velachery,Private,85,84,Yes,5.7,15000,5500,2196,None,3,5,0.95,3.47,1,4,Social Impact Leader,Sastra,7.6
18,Female,Chennai,Private,82,71,No,6.52,15000,6000,4001,1x late,2,9,0.38,3.62,3,2,Innovator,VIT Vellore,10
25,Male,Thanjavur,Private,84,69,Yes,9.6,15000,6000,1359,1x late,5,3,0.51,2.4,2,4,Award Winner,VIT Vellore,10
22,Male,Chennai,Private,77,77,Yes,7.31,9500,7000,4876,2x late,1,2,0.97,5.31,1,2,Innovator,Sathyabama,5.2
25,Male,Pattukkottai,Private,51,73,Yes,6.57,8000,7000,2080,None,1,4,-0.77,5.33,2,3,Patent Holder,VIT Vellore,10
21,Male,Kanchipuram,Private,88,78,No,5.64,14000,5500,2399,None,4,8,-0.03,4.05,1,4,Social Impact Leader,Savitha,6.15
20,Male,Urapakkam,Online Platform,70,84,No,6.36,11000,7000,662,None,3,2,-0.45,9.98,2,1,Innovator,Distance Degree,0
23,Female,Avadi,Private,95,84,No,9.9,6500,6500,698,None,2,9,0.42,2.39,3,4,Startup Founder,SNU Chennai,8.26
19,Male,Oragadam,Online Platform,57,75,Yes,5.74,11500,7000,4010,1x late,1,4,0.75,7.35,1,4,Patent Holder,Udemy,0
21,Male,Velachery,Online Platform,75,96,Yes,6.64,6500,6500,3558,1x late,2,8,0.46,7.32,1,1,Patent Holder,Coursera,0
22,Male,Oragadam,Private,80,66,No,7.84,15000,5500,3988,1x late,3,7,0.08,7.87,1,0,Social Impact Leader,Savitha,6.15
19,Male,Pattukkottai,Govt,58,83,Yes,5.82,11000,6500,2807,None,1,3,0.47,7.05,1,1,Social Impact Leader,NIT Trichy,9.2
18,Female,Madurai,Online Platform,75,100,No,9.77,5500,7000,1983,2x late,2,10,0.3,3.23,2,3,Patent Holder,Udemy,0
22,Male,Sriperumbudur,Online Platform,63,71,Yes,8.71,7500,7000,1512,2x late,2,5,-0.44,3.43,2,1,Startup Founder,Udemy,0
20,Female,Thanjavur,Online Platform,66,99,Yes,6.3,7500,5500,4621,None,1,7,-0.93,4.76,1,2,Award Winner,Udemy,0
24,Female,Kanchipuram,Online Platform,55,94,Yes,6.51,7500,5000,3315,1x late,3,5,-0.95,6.26,1,0,Social Impact Leader,Distance Degree,0
23,Female,Karur,Govt,76,92,No,7.42,7500,7000,4499,1x late,3,9,0.68,9.72,1,3,Social Impact Leader,IIIT Kanchipuram,8.6
20,Male,Karur,Private,54,69,No,8.29,13000,6500,3866,None,3,4,-0.83,8.51,3,4,Patent Holder,SNU Chennai,8.26
19,Male,Madurai,Govt,55,84,Yes,7.86,12500,6000,2444,2x late,3,3,-0.03,3.69,1,3,Award Winner,IIIT Kanchipuram,8.6
22,Male,Oragadam,Govt,65,75,Yes,8.8,6500,6500,2504,2x late,2,10,0.91,5.81,3,1,Award Winner,NIT Trichy,9.2
25,Female,Madurai,Govt,80,63,Yes,6.82,13500,6000,2102,2x late,3,5,0.86,9.91,1,3,Competition Winner,IIIT Kanchipuram,8.6
20,Male,Siruseri,Online Platform,51,63,Yes,9.6,5000,5000,475,None,3,8,0.54,3.24,2,0,Innovator,Coursera,0
24,Male,Sriperumbudur,Private,62,73,Yes,8.77,8000,6000,1310,None,1,3,-0.5,6.73,1,4,Competition Winner,Savitha,6.15
25,Male,Chengalpattu,Private,87,75,No,5.61,7000,6500,1425,1x late,5,5,0.05,5.76,2,1,Competition Winner,SNU Chennai,8.26
25,Male,Kanchipuram,Private,71,95,Yes,9.48,14500,6000,1771,None,1,1,-0.01,4.19,1,4,Social Impact Leader,Sathyabama,5.2
19,Male,Dindigul,Govt,73,77,Yes,6.13,11000,5500,646,2x late,5,6,-0.41,5.69,1,4,Research Publication,NIT Trichy,9.2
24,Male,Chennai,Govt,72,89,Yes,7.84,14000,6000,967,2x late,5,7,-0.74,4.66,2,2,Startup Founder,NIT Trichy,9.2
25,Female,Urapakkam,Govt,63,89,Yes,6.94,12000,7000,147,None,3,10,0.65,4.21,3,1,Startup Founder,IIIT Kanchipuram,8.6
21,Male,Dindigul,Govt,88,65,Yes,7.66,14000,7000,1888,2x late,3,10,0.94,6.32,1,0,Competition Winner,IIT M,12
22,Male,Vallam,Private,83,65,Yes,7.06,9500,5500,3611,2x late,1,9,0.37,6.93,3,2,None,Sastra,7.6
19,Male,Chengalpattu,Govt,65,72,Yes,9.02,13500,5500,4432,2x late,4,5,-0.82,7.95,2,0,Competition Winner,IIT M,12
18,Female,Pattukkottai,Online Platform,73,94,No,8.55,14000,7000,4909,2x late,5,2,0.05,3.95,2,0,Startup Founder,Distance Degree,0
19,Male,Karaikal,Govt,98,71,Yes,6.12,11500,7000,788,2x late,4,3,0.55,4.65,1,1,Research Publication,IIIT Kanchipuram,8.6
25,Female,Dindigul,Online Platform,78,82,Yes,7.91,12000,7000,2662,2x late,3,10,-0.64,4.32,3,0,Award Winner,Udemy,0
25,Female,Papanasam,Govt,78,74,Yes,5.61,11000,7000,2522,2x late,5,5,0.28,6.55,3,4,Innovator,NIT Trichy,9.2
22,Female,Urapakkam,Private,97,71,No,7.45,8000,5500,15,1x late,4,4,0.39,4.62,3,4,Startup Founder,Savitha,6.15
20,Female,Kumbakonam,Govt,100,95,Yes,5.61,7000,5000,1118,2x late,3,10,-0.89,7.4,2,4,None,IIT M,12
24,Male,Vallam,Online Platform,92,60,No,9.33,7500,5000,3409,1x late,5,4,-0.05,7.9,1,1,Innovator,Udemy,0
20,Male,Madurai,Private,69,82,Yes,7.14,11000,5000,117,1x late,4,4,0.44,8.78,1,4,Startup Founder,Sastra,7.6
25,Female,Karaikal,Online Platform,89,92,No,6.07,14000,6500,3263,None,2,5,0.74,9.09,1,1,Competition Winner,Udemy,0
23,Male,Chennai,Online Platform,62,95,No,8.39,7500,6000,2904,1x late,3,5,-0.22,5.95,3,3,Competition Winner,Udemy,0
23,Female,Chengalpattu,Private,90,61,Yes,6.29,6500,5500,3123,1x late,3,8,-0.29,8.43,3,1,Competition Winner,Sathyabama,5.2
22,Female,Chengalpattu,Govt,53,75,Yes,9.53,7500,6000,4781,1x late,3,7,0.37,3.83,2,4,Patent Holder,IIT M,12
20,Female,Tiruvallur,Private,54,77,No,8.45,12000,7000,4606,2x late,2,10,-0.61,6.55,1,1,Competition Winner,Savitha,6.15
18,Male,Tiruchirapalli,Govt,90,81,No,7.57,7000,5000,1652,None,3,3,0.28,8.54,3,0,Patent Holder,IIT M,12
19,Male,Vallam,Private,87,90,No,6.2,12000,6000,1269,2x late,3,2,0.6,6.56,1,0,Startup Founder,SNU Chennai,8.26
24,Male,Kumbakonam,Private,97,80,No,9.3,13500,5000,2762,None,2,1,-0.27,5.74,2,0,Patent Holder,Sathyabama,5.2
25,Male,Tiruchirapalli,Govt,72,78,No,8.06,9500,6000,337,None,5,8,0.7,2.66,1,2,Award Winner,IIT M,12
23,Male,Tiruchirapalli,Online Platform,91,65,No,6.07,12500,5500,879,2x late,3,2,-0.46,9.14,1,4,Startup Founder,Coursera,0
24,Female,Vellore,Govt,66,73,Yes,5.9,5500,5000,2323,2x late,5,10,-0.84,3.35,3,1,Award Winner,NIT Trichy,9.2
22,Male,Sholinganallur,Online Platform,70,72,Yes,9.87,12000,7000,3361,2x late,5,7,-0.74,9.91,1,4,Research Publication,Coursera,0
25,Male,Lalgudi,Govt,96,95,Yes,5.79,13000,7000,1888,2x late,4,5,0.98,5.55,3,4,None,IIT M,12
21,Female,Padappai,Online Platform,89,71,No,6.79,5000,5000,3571,1x late,5,2,0.83,3.41,2,3,Social Impact Leader,Distance Degree,0
20,Male,Papanasam,Online Platform,79,66,Yes,9.06,11000,7000,2311,None,4,1,0.19,2.04,3,0,Competition Winner,Coursera,0
18,Male,Velachery,Govt,93,95,No,8.26,12500,6500,4514,1x late,4,10,-0.18,2.6,1,2,Startup Founder,IIT M,12
23,Female,Karur,Online Platform,76,93,Yes,9.96,13500,6000,3579,1x late,1,4,0.55,8.14,3,1,Competition Winner,Udemy,0
19,Male,Dindigul,Private,62,60,Yes,6.17,5000,7000,1564,None,5,7,-0.17,9.88,3,3,Competition Winner,Savitha,6.15
25,Female,Tiruchirapalli,Govt,70,88,Yes,8.43,8500,5500,2712,None,3,4,-0.98,9.55,3,3,Innovator,NIT Trichy,9.2
21,Male,Papanasam,Private,70,95,No,6.47,5000,5500,2421,None,1,10,-0.49,5.38,2,0,Award Winner,Savitha,6.15
18,Male,Padappai,Online Platform,81,84,No,5.79,8500,5000,4761,1x late,5,5,-0.26,9.27,1,2,Competition Winner,Distance Degree,0
23,Female,Tambaram,Private,91,69,Yes,7.08,10500,6000,2682,1x late,4,6,0.8,7.47,1,0,Research Publication,VIT Vellore,10
22,Male,Chengalpattu,Online Platform,76,67,No,8.04,13000,5500,2327,None,3,2,0.44,6.21,1,4,None,Coursera,0
24,Male,Siruseri,Online Platform,89,81,Yes,5.73,14000,5000,3686,1x late,5,4,-0.06,7.66,2,4,None,Coursera,0
20,Male,Vellore,Private,84,86,Yes,8.01,6000,7000,3836,2x late,5,1,0.43,3.15,1,2,Startup Founder,Sathyabama,5.2
22,Male,Karaikal,Private,69,97,Yes,9.95,8500,5500,2726,2x late,1,3,0.29,8.87,3,1,Competition Winner,SNU Chennai,8.26
23,Female,Papanasam,Online Platform,93,76,Yes,6.42,7500,6000,4749,1x late,1,1,-0.85,6.48,1,3,Patent Holder,Distance Degree,0
18,Female,Urapakkam,Govt,54,60,No,9.28,12500,5500,3233,1x late,4,1,0.7,7.65,3,3,Award Winner,IIIT Kanchipuram,8.6
22,Female,Karur,Govt,68,73,Yes,8.56,7500,6500,2898,2x late,4,10,-0.26,2.25,2,1,Award Winner,IIT M,12
19,Female,Chennai,Private,87,85,No,9.42,13500,7000,2439,2x late,5,4,0.07,7.94,2,2,Social Impact Leader,Sastra,7.6
23,Female,Sriperumbudur,Govt,71,62,No,6.2,13000,6500,2697,2x late,4,10,-0.77,6.1,1,3,Competition Winner,IIIT Kanchipuram,8.6
25,Male,Chennai,Govt,81,92,No,5.6,5500,5000,77,1x late,2,8,0.85,7.52,2,3,Startup Founder,IIIT Kanchipuram,8.6
23,Male,Madurai,Online Platform,99,88,Yes,7.32,13500,6500,2938,2x late,1,3,0.62,7.16,1,1,None,Udemy,0
19,Male,Thanjavur,Govt,81,92,No,9.21,11000,6000,377,1x late,5,4,-0.89,8.17,1,0,None,IIIT Kanchipuram,8.6
22,Male,Thanjavur,Govt,63,90,Yes,7.33,11000,6500,2666,2x late,4,4,0.24,4.74,1,0,Social Impact Leader,IIIT Kanchipuram,8.6
19,Female,Avadi,Online Platform,100,82,No,5.98,11000,5500,1588,1x late,1,2,-0.68,2.17,3,0,Innovator,Udemy,0
24,Male,Karur,Online Platform,100,76,No,8.41,14000,7000,2671,None,2,3,-0.87,5.16,3,1,Award Winner,Coursera,0
20,Female,Sriperumbudur,Private,61,97,No,6.81,11000,6000,2547,1x late,2,7,-0.77,7.58,1,4,Award Winner,SNU Chennai,8.26
24,Male,Thanjavur,Private,75,87,Yes,9.01,12500,6000,4779,None,4,5,-0.15,6.64,3,2,Award Winner,Savitha,6.15
21,Female,Vellore,Online Platform,66,73,No,9.78,10000,5000,3531,2x late,3,6,-0.51,3.73,2,0,Competition Winner,Udemy,0
24,Female,Dindigul,Private,51,93,Yes,9.43,11000,5500,3575,1x late,3,7,-0.93,6.02,2,1,Social Impact Leader,VIT Vellore,10
21,Male,Papanasam,Govt,96,67,Yes,7.32,12000,6000,2850,None,3,3,-0.09,3.12,3,0,Patent Holder,IIT M,12
25,Female,Vellore,Online Platform,80,69,No,8.28,13000,7000,3400,2x late,1,3,0.65,5.75,1,2,Competition Winner,Coursera,0
23,Male,Thiruporur,Private,53,97,No,8.05,6500,6500,4983,None,1,3,0.05,5.98,3,4,Startup Founder,SNU Chennai,8.26
18,Male,Lalgudi,Online Platform,88,64,No,9.61,13000,6000,255,None,5,8,-0.82,9.22,3,0,Patent Holder,Udemy,0
18,Female,Velachery,Govt,56,90,No,7.57,8500,6500,3287,1x late,3,10,-0.46,4.84,2,1,Innovator,IIT M,12
24,Male,Thiruporur,Private,56,100,No,7.67,15000,5500,4942,1x late,1,8,0.7,7.94,2,0,Social Impact Leader,Sathyabama,5.2
18,Male,Tambaram,Private,64,71,No,6.27,5000,7000,3268,2x late,5,8,-0.19,7.47,1,4,Innovator,Savitha,6.15
22,Female,Chengalpattu,Private,91,76,No,8.68,8000,7000,926,2x late,1,5,0.18,4.41,2,0,Startup Founder,VIT Vellore,10
21,Female,Vallam,Private,82,85,No,6.14,15000,5000,4806,2x late,4,4,-0.07,5.69,3,1,Research Publication,Sathyabama,5.2
21,Male,Tiruchirapalli,Online Platform,71,67,Yes,9.78,7000,7000,2374,2x late,2,3,0.44,8,1,2,Research Publication,Udemy,0
23,Male,Tambaram,Govt,50,88,Yes,7.56,11000,5500,1945,2x late,1,10,-0.26,5.7,1,4,Innovator,IIT M,12
18,Female,Thiruporur,Online Platform,74,97,Yes,9.59,9500,5500,610,2x late,5,8,-0.84,8,3,1,Patent Holder,Distance Degree,0
23,Male,Madurai,Online Platform,86,63,Yes,8.9,8000,6500,3895,2x late,2,3,-0.19,4.48,1,3,Patent Holder,Udemy,0
24,Male,Urapakkam,Govt,94,69,Yes,9.21,7000,6000,1244,1x late,3,7,0.24,2.68,3,1,Competition Winner,IIIT Kanchipuram,8.6
18,Female,Tambaram,Private,60,87,Yes,8.05,7000,7000,881,1x late,2,8,0.89,8.14,3,3,Social Impact Leader,Sastra,7.6
22,Male,Pattukkottai,Private,94,65,No,7.65,6500,6000,4988,1x late,4,7,0.9,4.67,3,3,Award Winner,SNU Chennai,8.26
21,Male,Pattukkottai,Online Platform,62,72,No,8.42,13000,5000,141,2x late,1,3,0.86,9.91,3,0,Startup Founder,Coursera,0
18,Male,Chennai,Private,71,62,Yes,5.74,15000,7000,146,1x late,5,7,0.48,2.26,1,3,Startup Founder,Savitha,6.15
18,Female,Sholinganallur,Online Platform,71,63,No,8.07,9500,6000,488,1x late,5,3,-0.29,3.37,1,0,Startup Founder,Distance Degree,0
24,Female,Siruseri,Govt,87,89,Yes,7.46,6500,5000,2163,1x late,2,2,-0.66,9.23,2,1,Social Impact Leader,IIIT Kanchipuram,8.6
18,Female,Dindigul,Private,77,65,No,6.08,5000,6000,1779,1x late,1,7,-0.25,9.1,3,4,Competition Winner,Sathyabama,5.2
22,Female,Urapakkam,Govt,78,93,Yes,5.93,13000,6000,3541,None,1,4,0.05,8,3,1,Patent Holder,NIT Trichy,9.2
21,Male,Karur,Online Platform,81,64,Yes,7.38,13000,6000,1340,1x late,2,8,-0.04,7.6,2,2,Startup Founder,Coursera,0
19,Male,Tambaram,Govt,55,70,No,5.67,13000,7000,2929,2x late,3,6,0.58,9.32,3,4,Social Impact Leader,NIT Trichy,9.2
20,Male,Kumbakonam,Private,63,98,Yes,8.03,7500,6500,3926,1x late,4,8,0.95,2.95,1,3,None,Sastra,7.6
19,Male,Oragadam,Govt,50,81,No,8.68,9000,6000,4053,None,3,5,-0.36,7.25,1,4,Startup Founder,NIT Trichy,9.2
20,Male,Kanchipuram,Private,84,78,Yes,6.61,7000,6000,3292,None,3,3,0.43,7.42,2,0,Research Publication,Savitha,6.15
19,Male,Chengalpattu,Online Platform,83,61,Yes,9.21,15000,6500,4341,None,3,9,-0.54,9.03,3,2,Research Publication,Distance Degree,0
19,Male,Pattukkottai,Private,71,82,No,9.31,11500,6500,213,None,2,5,0.02,7.47,1,0,Research Publication,VIT Vellore,10
23,Male,Thiruporur,Govt,88,85,No,6.26,11000,6000,3695,None,4,3,-0.33,2.73,2,1,None,IIIT Kanchipuram,8.6
21,Male,Velachery,Online Platform,78,90,Yes,7.65,6000,6500,853,1x late,2,8,-0.54,4.49,3,0,Startup Founder,Coursera,0
20,Female,Chennai,Govt,70,75,Yes,7.22,12500,6500,2411,None,4,7,-0.81,4.55,1,2,Social Impact Leader,IIT M,12
22,Male,Sholinganallur,Online Platform,80,72,Yes,8.42,8000,5000,709,2x late,1,8,0.97,3,1,1,Research Publication,Coursera,0
22,Female,Kumbakonam,Online Platform,70,70,Yes,9.67,8000,5500,4250,2x late,3,2,0.96,7.96,3,1,Competition Winner,Udemy,0
24,Male,Velachery,Online Platform,84,82,Yes,6.26,6500,6500,4716,2x late,1,9,-0.84,3.62,2,3,Startup Founder,Coursera,0
21,Male,Siruseri,Private,56,90,Yes,7.69,7500,5500,3256,2x late,4,1,-0.97,4.57,3,1,Patent Holder,VIT Vellore,10
23,Female,Tambaram,Private,77,84,No,8.02,10500,5000,3345,2x late,3,5,0.22,4.14,1,4,Award Winner,SNU Chennai,8.26
20,Male,Vellore,Private,72,77,No,6.27,14500,7000,3993,None,3,9,0.87,2.47,1,0,Innovator,SNU Chennai,8.26
25,Male,Thiruporur,Private,91,93,No,8.23,6500,6500,1431,1x late,3,9,-0.75,4.01,3,1,Innovator,Sathyabama,5.2
25,Male,Thanjavur,Private,78,73,Yes,6.54,13000,5500,1851,1x late,4,4,-0.6,3.57,2,2,Innovator,Savitha,6.15
20,Male,Padappai,Private,52,97,Yes,6.95,5500,6000,4139,None,5,6,0.55,7.89,2,4,Patent Holder,SNU Chennai,8.26
19,Male,Tiruchirapalli,Govt,77,63,Yes,7.75,10000,6000,3423,None,2,3,0.56,6.78,2,2,Competition Winner,NIT Trichy,9.2
25,Male,Pattukkottai,Online Platform,67,63,Yes,8.16,12000,6500,222,1x late,4,7,-0.29,8.79,2,2,Patent Holder,Distance Degree,0
25,Male,Tiruvallur,Online Platform,88,66,Yes,8.36,9500,7000,4171,1x late,4,5,0.75,7.87,1,4,Social Impact Leader,Udemy,0
18,Male,Tiruchirapalli,Private,62,92,No,8.06,10500,6000,313,2x late,4,3,-0.94,8.79,2,0,Startup Founder,Sastra,7.6
24,Male,Sriperumbudur,Private,75,89,No,8.46,9500,5500,4328,None,4,8,-0.93,8.65,2,3,Award Winner,VIT Vellore,10
24,Male,Avadi,Online Platform,92,70,No,5.69,12000,7000,726,1x late,4,5,-0.85,5.91,2,4,Startup Founder,Udemy,0
23,Male,Padappai,Private,69,87,Yes,7.92,10000,7000,2072,None,5,10,-0.76,5.52,1,2,Social Impact Leader,Sastra,7.6
21,Male,Tambaram,Private,55,65,No,7.14,5000,6500,3229,1x late,1,4,0.7,7.47,2,0,Social Impact Leader,Savitha,6.15
20,Female,Lalgudi,Private,79,94,Yes,9.05,9000,6000,2960,None,2,8,-1,3.98,3,1,None,VIT Vellore,10
18,Male,Tambaram,Private,76,95,No,5.6,14000,6000,972,1x late,5,5,0.36,9.42,1,4,Patent Holder,Sathyabama,5.2
23,Male,Thanjavur,Online Platform,76,92,No,5.76,7000,5500,2570,2x late,2,3,0.38,8.04,1,1,Innovator,Udemy,0
22,Male,Siruseri,Private,100,87,Yes,6.54,11000,5000,2681,2x late,4,9,-0.27,3.86,2,4,None,Sastra,7.6
23,Female,Karaikal,Online Platform,62,67,No,7.81,9000,5500,1435,1x late,2,7,0.32,9.11,1,3,Startup Founder,Udemy,0
23,Male,Thanjavur,Private,50,75,Yes,7.54,9000,5500,915,None,3,4,0.28,5.11,3,2,None,Sathyabama,5.2
19,Male,Vellore,Govt,98,65,No,9.66,13000,7000,2080,2x late,5,3,-0.8,7.07,1,4,Award Winner,IIIT Kanchipuram,8.6
24,Female,Oragadam,Govt,78,89,Yes,5.75,5500,6000,1500,None,2,9,0.65,4.08,1,3,Competition Winner,IIIT Kanchipuram,8.6
19,Female,Kumbakonam,Private,82,100,No,9.42,7000,6500,1916,None,1,10,-0.4,6.18,3,4,Competition Winner,Sastra,7.6
25,Female,Chennai,Govt,65,80,No,9.66,9500,5500,3948,1x late,5,3,0.56,8.74,1,0,Innovator,IIIT Kanchipuram,8.6
19,Male,Pattukkottai,Private,78,64,No,6.15,11000,5500,3245,2x late,4,7,-0.94,7.16,3,1,Innovator,Savitha,6.15
23,Male,Dindigul,Govt,66,71,Yes,9.97,11000,5000,1823,1x late,4,5,-0.59,9.13,3,0,Patent Holder,NIT Trichy,9.2
20,Female,Avadi,Govt,60,83,No,9.77,15000,5500,4680,None,5,10,0.27,9.25,2,2,None,IIIT Kanchipuram,8.6
24,Female,Kumbakonam,Private,75,68,Yes,6.54,8500,5000,341,None,5,6,-0.84,3.05,1,4,Research Publication,Sastra,7.6
20,Male,Karur,Private,100,84,No,8.38,6500,7000,3024,None,3,6,0.27,7.15,3,1,Research Publication,Sathyabama,5.2
24,Male,Siruseri,Private,62,94,No,9.28,9000,5500,2440,2x late,3,6,-0.1,6.38,1,1,Innovator,Sastra,7.6
20,Male,Padappai,Online Platform,100,82,Yes,7.74,12000,6500,621,1x late,2,9,0.31,5.41,1,0,Social Impact Leader,Coursera,0
21,Female,Tambaram,Private,86,76,No,7.79,11000,7000,2221,1x late,3,6,-0.14,9.43,1,1,Award Winner,Savitha,6.15
22,Female,Pattukkottai,Online Platform,86,63,No,8.03,8000,7000,1058,1x late,3,8,-0.52,8.44,3,0,None,Distance Degree,0
21,Male,Siruseri,Online Platform,74,61,Yes,8.85,11500,7000,408,1x late,5,2,0.89,5.93,2,0,Award Winner,Coursera,0
23,Female,Siruseri,Online Platform,69,77,No,7.93,8000,7000,2360,2x late,4,8,0.58,7.45,3,1,Competition Winner,Coursera,0
21,Female,Vallam,Private,64,77,Yes,6.5,7000,6500,3582,None,1,5,0.22,3.77,1,0,Startup Founder,VIT Vellore,10
21,Female,Tiruvallur,Govt,93,87,Yes,9.32,10500,6000,2744,None,2,7,-0.73,5.4,1,4,Innovator,IIT M,12
18,Female,Vellore,Private,57,80,No,8.84,15000,6000,4737,1x late,3,4,0.79,4.34,2,1,Social Impact Leader,SNU Chennai,8.26
22,Male,Urapakkam,Online Platform,53,64,Yes,5.99,7500,7000,4702,1x late,2,1,-0.84,3.2,3,3,Award Winner,Distance Degree,0
22,Male,Urapakkam,Govt,88,88,Yes,7.18,7500,7000,926,1x late,1,5,0.57,6.72,3,1,Innovator,NIT Trichy,9.2
22,Female,Avadi,Private,89,97,Yes,6.15,15000,7000,4693,None,3,7,0.41,6.69,1,0,Award Winner,Sastra,7.6
21,Male,Thanjavur,Govt,91,95,No,7.77,5500,7000,1401,1x late,5,3,0.49,7.26,3,0,None,IIIT Kanchipuram,8.6
24,Male,Tiruchirapalli,Private,96,79,No,8.19,10500,6000,2418,1x late,5,2,-0.41,5.71,2,4,Startup Founder,Sathyabama,5.2
25,Male,Velachery,Private,80,72,Yes,9.65,14000,6000,3969,None,4,7,0.29,5.25,2,4,Startup Founder,VIT Vellore,10
21,Male,Karaikal,Govt,52,98,No,6.2,6500,5000,488,2x late,1,9,0.98,7.53,2,1,Startup Founder,IIT M,12
18,Male,Madurai,Govt,69,73,No,9.8,6500,6500,4818,None,3,2,0.93,9.7,3,0,Competition Winner,IIIT Kanchipuram,8.6
24,Female,Thanjavur,Govt,68,81,No,6.8,7500,5500,4630,1x late,3,1,-0.28,8.2,2,1,Innovator,IIIT Kanchipuram,8.6
23,Male,Thiruporur,Govt,76,71,Yes,6.09,12000,7000,2246,1x late,3,9,0.5,9.7,1,0,Research Publication,IIT M,12
21,Male,Sholinganallur,Govt,100,67,Yes,7.03,8000,5500,718,1x late,2,10,-0.95,8.4,3,2,Innovator,IIIT Kanchipuram,8.6
19,Female,Vellore,Online Platform,54,90,Yes,9.7,13000,5500,4982,2x late,1,2,0.31,5.83,2,0,Innovator,Udemy,0
18,Female,Chengalpattu,Online Platform,84,87,Yes,8.05,7000,7000,3728,1x late,1,5,0.56,3.85,3,3,Startup Founder,Udemy,0
20,Male,Chengalpattu,Online Platform,79,92,Yes,6.61,10500,7000,4844,None,2,7,-0.83,2.15,3,0,Research Publication,Distance Degree,0
20,Female,Chennai,Private,96,84,No,8.01,10000,5500,2375,1x late,3,1,-0.62,4.91,1,2,Innovator,VIT Vellore,10
21,Male,Tiruvallur,Private,97,75,Yes,9.46,14000,6000,1363,1x late,3,9,0.79,5.03,3,3,None,Sastra,7.6
23,Male,Padappai,Govt,82,95,Yes,8.03,8500,6500,3893,1x late,2,4,0.32,3.95,3,3,Social Impact Leader,IIT M,12
22,Female,Madurai,Private,74,72,No,9.23,6500,7000,2427,2x late,1,8,0.86,5.09,3,4,Startup Founder,Savitha,6.15
24,Male,Vellore,Govt,83,90,Yes,9.64,9000,6500,3899,2x late,5,1,-0.39,9.43,1,0,Research Publication,IIT M,12
20,Female,Chengalpattu,Online Platform,84,79,No,7.81,5500,6000,1732,None,4,1,-0.74,7.46,1,0,Innovator,Udemy,0
20,Male,Thanjavur,Online Platform,54,68,Yes,6.77,11500,5500,4338,2x late,2,6,0.87,8.51,3,1,Innovator,Distance Degree,0
19,Male,Sholinganallur,Private,50,80,Yes,5.78,11000,6000,1033,None,2,9,0.01,7.11,3,1,Research Publication,Sastra,7.6
25,Male,Chengalpattu,Online Platform,59,99,Yes,8.38,8000,7000,4797,1x late,4,2,-0.18,8.41,2,2,Research Publication,Udemy,0
18,Male,Papanasam,Online Platform,83,99,No,9.22,14500,5000,3159,None,4,2,1,3.4,3,4,Research Publication,Coursera,0
23,Male,Thanjavur,Online Platform,99,65,Yes,6.04,6500,5000,4901,2x late,2,7,0.91,5.5,1,0,Award Winner,Coursera,0
23,Female,Sholinganallur,Private,92,99,No,8.6,13500,6500,3425,1x late,1,5,0.68,6.26,1,0,Patent Holder,SNU Chennai,8.26
22,Female,Sriperumbudur,Private,88,81,No,7.05,6000,6000,2223,2x late,4,8,-0.81,5.49,1,1,Research Publication,Sastra,7.6
18,Male,Karaikal,Online Platform,81,99,Yes,9.4,8000,6500,1623,None,4,1,0.67,7.68,2,4,Award Winner,Coursera,0
20,Male,Madurai,Private,53,99,Yes,7.21,8000,5500,4932,2x late,1,7,0,3.25,3,0,None,Sathyabama,5.2
18,Male,Vallam,Govt,92,88,No,7.07,14500,5000,1806,2x late,4,6,0.16,8.02,2,0,Social Impact Leader,IIIT Kanchipuram,8.6
